# gunzip -c exp/tri4b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_2 
# Started at Thu Nov  9 13:57:13 NZDT 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 10.7303141575% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 21.7054263566% of the time at utterance end.  This may not be optimal.
Overall, au_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,16.0,30) frames.
Overall, o_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
Overall, f_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,17) frames.
Overall, u_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,12) frames.
Overall, ae_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.8,32) frames.
Overall, r_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,7) frames.
Overall, ai_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.8,23) frames.
Overall, i_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,15) frames.
Overall, aa_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.7,28) frames.
Overall, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,21) frames.
Overall, p_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,12) frames.
Overall, a_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.0,18) frames.
Overall, au_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.4,19) frames.
Overall, e_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,17) frames.
Overall, ae_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,12) frames.
Overall, oo_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,14) frames.
Overall, ou_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (25,25.5,42) frames.
Overall, ai_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,15) frames.
The optional-silence phone sil occupies 5.8% of frames overall 
Limiting the stats to the 55.2% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 0.0% of frames.
Assuming 100 frames per second, the alignments represent 0.3 hours of data, or 0.2 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (0,0.0,0)
# Accounting: time=0 threads=1
# Ended (code 0) at Thu Nov  9 13:57:13 NZDT 2017, elapsed time 0 seconds
